indeed,gupy,linkedin,significado,
,,applicationsCount,número de candidaturas,
,,applyType,tipo de aplicação,
,,benefits,benefícios,
,company_id,companyId,,
company,company_name,companyName,,
,,companyUrl,,
jobType/0,type,contractType,"full, part, intern",
description,requirements,description,requisitos,
,,experienceLevel,exteriecia necessaceria,
id,id,id,,
url,url,jobUrl,,
location,location,Location,Cidade / Estado,
postingDateParsed,published_date,publishedAt,data publicação,
,,salary,salario,
,,sector,,
positionName,title,title,,
location,experience_level,workType,,"hybrid
on-site
Remote"
fonte,fonte,fonte,site origem,
searchInput/position,function,termo_busca,,
scrapedAt,created_at,,data de nusca,
origin_site_name,origin_site_name,origin_site_name,,
salary,,,,